,address/locality,address/street,baths,beds,coordinates/latitude,coordinates/longitude,garage,id,listPrice,local/flood/flood_factor_score,local/noise/score,local/wildfire/fire_factor_score,name,sqft,status,stories,type,units,year_built,amenity_count
112,Ithaca,109 E State St,1.0,0.0,42.439278,-76.498512,0.0,9593541099,945.0,,68.0,,,0.0,for_rent,1.0,apartment,1.0,,4
113,Ithaca,87 Uptown Rd Apt F112,1.0,1.0,42.47979,-76.474205,0.0,9048930196,1350.0,1.0,74.0,2.0,,775.0,for_rent,1.0,apartment,1.0,,1
114,Ithaca,426 E Buffalo St,1.0,2.0,42.441949,-76.49252,0.0,3830863912,882.0,1.0,79.0,3.0,,0.0,for_rent,1.0,apartment,1.0,,6
115,Ithaca,210 Delaware Ave Apt 2,1.0,3.0,42.439854,-76.483528,0.0,9864265022,2850.0,1.0,78.0,3.0,,0.0,for_rent,1.0,apartment,1.0,,5
116,Dryden,8 Library St,1.0,0.0,42.491526,-76.298962,0.0,4780213306,735.0,1.0,100.0,2.0,,0.0,for_rent,1.0,apartment,1.0,,5
117,Ithaca,114 Overlook Rd Apt 3,1.0,3.0,42.458683,-76.489548,0.0,9764143776,2685.0,1.0,88.0,2.0,,1400.0,for_rent,1.0,apartment,1.0,,4
118,Ithaca,121 Cascadilla Ave Apt 3,1.0,1.0,42.443951,-76.497772,0.0,9439454615,1575.0,8.0,80.0,2.0,,400.0,for_rent,1.0,apartment,1.0,1910.0,1
119,Ithaca,87 Uptown Rd Apt J201,1.0,1.0,42.479221,-76.474106,0.0,9198021389,1580.0,1.0,75.0,2.0,,933.0,for_rent,1.0,apartment,1.0,,1
120,Ithaca,705 E Seneca Ithaca,1.0,1.0,42.440483,-76.489258,0.0,9270490040,1115.0,1.0,78.0,3.0,,0.0,for_rent,1.0,apartment,1.0,,0
121,Ithaca,105 Dewitt Pl Apt 2,1.0,1.0,42.441929,-76.491173,0.0,9386654295,1450.0,1.0,79.0,3.0,,0.0,for_rent,1.0,apartment,1.0,,2
122,Ithaca,216 University Ave,1.0,1.0,42.445737,-76.493702,0.0,3099746077,1900.0,1.0,84.0,3.0,,0.0,for_rent,1.0,apartment,1.0,,6
123,Ithaca,1718 Ellis Hollow Rd,2.0,2.0,42.42716,-76.388618,0.0,4775417771,1850.0,1.0,100.0,3.0,,0.0,for_rent,1.0,apartment,1.0,,4
124,Ithaca,321-321 5 Hillview Pl # 321HIL,1.0,3.0,,,0.0,9024949942,,,,,PPM Homes LLC,0.0,for_rent,1.0,apartment,3.0,,3
125,Ithaca,200 W Hill Cir,1.25,2.0,42.46632,-76.54324,0.0,4946062953,0.0,1.0,81.0,1.0,The Overlook at West Hill,855.0,for_rent,1.0,apartment,128.0,,5
126,Ithaca,924 Danby Rd,1.5,4.0,42.425702,-76.500679,0.0,3070355079,,1.0,76.0,3.0,"MLR Property Management, LLC",0.0,for_rent,1.0,other,2.0,,0
127,Ithaca,Ithaca Solar Townhouses,1.0,4.0,,,0.0,9250743367,2350.0,,,,"Ithaca Estates Realty, LLC",1800.0,for_rent,1.0,apartment,8.0,,4
128,Ithaca,113 N Quarry St,1.0,3.0,42.439342,-76.48835,0.0,9309116472,,1.0,77.0,3.0,PPM Homes LLC,0.0,for_rent,1.0,apartment,5.0,,0
129,Ithaca,512 University Ave,3.0,6.0,42.449006,-76.492962,0.0,3570859431,579900.0,1.0,83.0,3.0,,2545.0,for_sale,2.0,multi_family,2.0,1900.0,1
130,Ithaca,Coddington and Hudson Pl,1.0,0.0,,,0.0,9104009463,,,,,Ithaca Living Solutions,400.0,for_rent,1.0,apartment,98.0,,4
131,Ithaca,151 Dryden Rd,1.0,1.0,42.441534,-76.485747,0.0,3155134025,1950.0,,68.0,,Landlords Association,0.0,for_rent,1.0,apartment,3.0,0.0,4
132,Ithaca,508 E Buffalo St,1.5,3.0,42.44176,-76.491679,0.0,3829410541,2400.0,1.0,79.0,3.0,Landlords Association,1350.0,for_rent,1.0,apartment,2.0,0.0,2
133,Ithaca,111 Dryden Rd,1.5,3.0,42.441449,-76.486717,0.0,3155208557,1525.0,1.0,70.0,3.0,Landlords Association,0.0,for_rent,1.0,apartment,6.0,0.0,4
134,Ithaca,210 Delaware Ave,1.0,3.0,42.439892,-76.483505,0.0,9254273635,,1.0,78.0,3.0,Landlords Association,0.0,for_rent,1.0,apartment,2.0,0.0,5
135,Ithaca,87 Uptown Rd Apt F212,1.0,1.0,42.479824,-76.47422,0.0,9655301551,1400.0,1.0,74.0,2.0,,775.0,for_rent,1.0,apartment,1.0,,1
136,Ithaca,411 N Geneva St Apt 2,1.0,1.0,42.443233,-76.500648,0.0,9447043542,1900.0,7.0,77.0,2.0,,660.0,for_rent,1.0,apartment,1.0,,6
137,Ithaca,108 E State St,2.0,2.0,42.439859,-76.498531,0.0,9924998029,,,69.0,,Ithaca Renting Company,700.0,for_rent,1.0,apartment,5.0,0.0,4
138,Ithaca,521 E State St,1.0,1.5,42.438945,-76.490611,0.0,3914265092,,1.0,73.0,3.0,"MLR Property Management, LLC",0.0,for_rent,1.0,other,9.0,,0
139,Ithaca,87 Uptown Rd Apt H207,1.0,1.0,42.479694,-76.474197,0.0,9304999752,1550.0,1.0,74.0,2.0,,775.0,for_rent,1.0,apartment,1.0,,1
140,Ithaca,87 Uptown Rd Apt K205,1.0,1.0,42.479134,-76.47361,0.0,9151962928,1450.0,1.0,75.0,2.0,,775.0,for_rent,1.0,apartment,1.0,,1
141,Ithaca,102 Highland Pl Apt 1,1.0,1.0,42.44241,-76.488861,0.0,9548497444,1550.0,1.0,80.0,3.0,,500.0,for_rent,1.0,apartment,1.0,,2
142,Ithaca,107 E State St,1.0,0.5,42.43952,-76.498692,0.0,4609880924,1870.0,,68.0,,Landlords Association,0.0,for_rent,1.0,apartment,2.0,0.0,2
143,Ithaca,110 N Titus Ave,1.0,1.0,42.435539,-76.499603,0.0,9638615418,1845.0,8.0,78.0,3.0,,0.0,for_rent,1.0,apartment,1.0,,3
144,Ithaca,705 E Seneca Ithaca,1.0,1.0,42.440483,-76.489258,0.0,9324932634,1195.0,1.0,78.0,3.0,,0.0,for_rent,1.0,apartment,1.0,,0
145,Ithaca,87 Uptown Rd Apt K108,1.0,1.0,42.479176,-76.473717,0.0,9911442678,1550.0,1.0,75.0,2.0,,775.0,for_rent,1.0,apartment,1.0,,1
146,Ithaca,87 Uptown Rd Apt H202,1.0,1.0,42.479404,-76.474045,0.0,9952534781,1525.0,1.0,75.0,2.0,,775.0,for_rent,1.0,apartment,1.0,,1
147,Ithaca,112 E State St,2.0,2.0,42.439612,-76.498583,0.0,3112201184,1800.0,,69.0,,,0.0,for_rent,1.0,apartment,1.0,,6
